Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Variant Price,Variant Requires Shipping,Variant Taxable,Metafield: custom.popularity_message [string],Metafield: custom.intro_badge [string],Metafield: custom.year [number_integer],Metafield: custom.language [string],Metafield: custom.format [string],Metafield: custom.file_size [string],Metafield: custom.sale_prefix [string],Metafield: custom.sale_timer [string],Metafield: custom.ai_training_data [string]
emotion-in-posttraumatic-stress-disorder-etiology-assessment-neurobiology-and-treatment,"Emotion in Posttraumatic Stress Disorder : Etiology, Assessment, Neurobiology, and Treatment","<p>Emotion in Posttraumatic Stress Disorder: Etiology, Assessment, Neurobiology, and Treatment starts with an overview of the theoretical and empirical literature on specific emotions such as fear, anxiety, shame, guilt, disgust, and others, also discussing their relationship with PTSD. The book then moves into an exploration of the psychophysiology and neurobiological underpinnings of emotion in PTSD, followed by a review of the emotional difficulties individuals with PTSD encounter, such as distress intolerance, experiential avoidance, emotion driven impulsivity, and information-processing deficits. The book concludes with a section looking at different treatment approaches for PTSD, with a particular focus on effectively targeting emotion dysfunction in PTSD. Treatment approaches covered include acceptance-based therapy, self-compassion, emotion-regulation based methods, and more. Summarizes the literature on emotions, emotion dysfunction and PTSD Looks at genetic influences on emotional responding in PTSD Explores emotional granularity and emotion-driven impulsivity Outlines prolonged exposure, cognitive processing therapy, and other treatment methods</p>","Matthew Tull (Editor), Nathan Kimbrel (Editor)",Book,"pdf, English, 2020, 8.4 MB",TRUE,4.00,FALSE,FALSE,Sold 12+ times in the last 24 hours,Bestseller,2020,English,pdf,8.4 MB,Save,2:00:00,"Product: Emotion in Posttraumatic Stress Disorder : Etiology, Assessment, Neurobiology, and Treatment | Author: Matthew Tull (Editor), Nathan Kimbrel (Editor) | Year: 2020 | Language: English | Format: pdf | Details: Emotion in Posttraumatic Stress Disorder: Etiology, Assessment, Neurobiology, and Treatment starts with an overview of the theoretical and empirical literature on specific emotions such as fear, anxiety, shame, guilt, disgust, and others, also discussing their relationship with PTSD. The book then moves into an exploration of the psychophysiology and neurobiological underpinnings of emotion in PTSD, followed by a review of the emotional difficulties individuals with PTSD encounter, such as distress intolerance, experiential avoidance, emotion driven impulsivity, and information-processing deficits. The book concludes with a section looking at different treatment approaches for PTSD, with a particular focus on effectively targeting emotion dysfunction in PTSD. Treatment approaches covered include acceptance-based therapy, self-compassion, emotion-regulation based methods, and more. Summarizes the literature on emotions, emotion dysfunction and PTSD Looks at genetic influences on emotional responding in PTSD Explores emotional granularity and emotion-driven impulsivity Outlines prolonged exposure, cognitive processing therapy, and other treatment methods"
troubled-persons-industries-the-expansion-of-psychiatric-categories-beyond-psychiatry,Troubled Persons Industries : The Expansion of Psychiatric Categories Beyond Psychiatry,"<p>""This book critiques the use of psychiatric labelling and psychiatric narratives in everyday areas of institutional and social life across the globe. It engages an interpretive sociology, emphasising the medial and individual everyday practices of medicalisation, and their role in establishing and diffusing conceptions of mental (ab)normality. The reconstruction of psychiatric narratives is currently taking place in multiple contexts, many of which are no longer strictly psychiatric. On the one hand, psychiatric narratives now pervade contemporary public discourses and institutions though advertising, news and internet sites. On the other hand, professionals like social workers, teachers, counsellors, disability advisors, lawyers, nurses and/or health insurance staff dealing with psychiatric narratives are becoming servants of the psychiatric discourse within troubled persons industries. Abstract academic categories get turned into concrete aggrieved victims of these categorisations and academic formulas turned into individual narratives. To receive support it seems, one must be labelled. The practice-oriented micro-sociological field with which this volume is concerned has only recently begun to integrate itself into public and academic debates regarding medicalisation and the social role of psychiatry. Discussions on the evolution and expansion of official diagnoses within academia, and society in general, frequently overlook the individualised roles of psychiatric...</p>",Martin Harbusch,Book,"pdf, English, 2022, 7.5 MB",TRUE,4.00,FALSE,FALSE,Sold 12+ times in the last 24 hours,Bestseller,2022,English,pdf,7.5 MB,Save,2:00:00,"Product: Troubled Persons Industries : The Expansion of Psychiatric Categories Beyond Psychiatry | Author: Martin Harbusch | Year: 2022 | Language: English | Format: pdf | Details: ""This book critiques the use of psychiatric labelling and psychiatric narratives in everyday areas of institutional and social life across the globe. It engages an interpretive sociology, emphasising the medial and individual everyday practices of medicalisation, and their role in establishing and diffusing conceptions of mental (ab)normality. The reconstruction of psychiatric narratives is currently taking place in multiple contexts, many of which are no longer strictly psychiatric. On the one hand, psychiatric narratives now pervade contemporary public discourses and institutions though advertising, news and internet sites. On the other hand, professionals like social workers, teachers, counsellors, disability advisors, lawyers, nurses and/or health insurance staff dealing with psychiatric narratives are becoming servants of the psychiatric discourse within troubled persons industries. Abstract academic categories get turned into concrete aggrieved victims of these categorisations and academic formulas turned into individual narratives. To receive support it seems, one must be labelled. The practice-oriented micro-sociological field with which this volume is concerned has only recently begun to integrate itself into public and academic debates regarding medicalisation and the social role of psychiatry. Discussions on the evolution and expansion of official diagnoses within academia, and society in general, frequently overlook the individualised roles of psychiatric..."
soviet-psychology-history-theory-content,"Soviet Psychology : History, Theory, Content","<p>Originally published in 1975, this title sets out to show us the differences between Soviet and other ways of thinking about nature, man, and society. The basic factor distinguishing Soviet psychology is that it views phenomena from the perspective of a highly articulated body of theoretical assumptions, and rejects the inductive ¿eclecticism¿ of Western psychology. The theoretical framework within which Soviet psychology functions is the product of a distinctive socio-political and cultural development in Russia profoundly shaped by the institutions of autocracy and Orthodox religion, and the economic system of serfdom, and the radical revolt which grew up in opposition to this and advocated materialism, secularism, and atheism. This radical philosophic tradition in Russia, best represented by the writings of Chernishevski, fused with the doctrines of Marxism and the new science of behaviour developed by Sechenov and Pavlov to create the theoretical framework of Soviet psychology. The book also analyses the discussions, controversies, and decrees which are at the root of the contemporary science of behaviour in the Soviet Union, and points to the impressive body of empirical knowledge which has arisen. Soviet Psychology is unique in presenting Soviet psychology from an ¿inside¿ point of view, and in making us appreciate the strongly theoretical stance of Soviet psychology which Professor McLeish claims is unlikely to be much influenced by the new atmosphere of d¿nte.</p>",John Mcleish,Book,"pdf, English, 2016, 33.1 MB",TRUE,4.00,FALSE,FALSE,Sold 12+ times in the last 24 hours,Bestseller,2016,English,pdf,33.1 MB,Save,2:00:00,"Product: Soviet Psychology : History, Theory, Content | Author: John Mcleish | Year: 2016 | Language: English | Format: pdf | Details: Originally published in 1975, this title sets out to show us the differences between Soviet and other ways of thinking about nature, man, and society. The basic factor distinguishing Soviet psychology is that it views phenomena from the perspective of a highly articulated body of theoretical assumptions, and rejects the inductive ¿eclecticism¿ of Western psychology. The theoretical framework within which Soviet psychology functions is the product of a distinctive socio-political and cultural development in Russia profoundly shaped by the institutions of autocracy and Orthodox religion, and the economic system of serfdom, and the radical revolt which grew up in opposition to this and advocated materialism, secularism, and atheism. This radical philosophic tradition in Russia, best represented by the writings of Chernishevski, fused with the doctrines of Marxism and the new science of behaviour developed by Sechenov and Pavlov to create the theoretical framework of Soviet psychology. The book also analyses the discussions, controversies, and decrees which are at the root of the contemporary science of behaviour in the Soviet Union, and points to the impressive body of empirical knowledge which has arisen. Soviet Psychology is unique in presenting Soviet psychology from an ¿inside¿ point of view, and in making us appreciate the strongly theoretical stance of Soviet psychology which Professor McLeish claims is unlikely to be much influenced by the new atmosphere of d¿nte."
silence-and-silencing-in-psychoanalysis-cultural-clinical-and-research-perspectives,"Silence and Silencing in Psychoanalysis : Cultural, Clinical, and Research Perspectives","<p>This book is the first comprehensive treatment in recent decades of silence and silencing in psychoanalysis from clinical and research perspectives, as well as in philosophy, theology, linguistics, and musicology. The book approaches silence and silencing on three levels. First, it provides context for psychoanalytic approaches to silence through chapters about silence in phenomenology, theology, linguistics, musicology, and contemporary Western society. Its central part is devoted to the position of silence in psychoanalysis: its types and possible meanings (a form of resistance, in countertransference, the foundation for listening and further growth), based on both the work of the pioneers of psychoanalysis and on clinical case presentations. Finally, the book includes reports of conversation analytic research of silence in psychotherapeutic sessions and everyday communication. Not only are original techniques reported here for the first time, but research and clinical approaches fit together in significant ways. This book will be of interest to all psychologists, psychoanalysts, and social scientists, as well as applied researchers, program designers and evaluators, educators, leaders, and students. It will also provide valuable insight to anyone interested in the social practices of silence and silencing, and the roles these play in everyday social interactions.</p>","Aleksandar Dimitrijević (Editor), Michael B. Buchholz (Editor)",Book,"pdf, English, 2020, 10.0 MB",TRUE,4.00,FALSE,FALSE,Sold 12+ times in the last 24 hours,Bestseller,2020,English,pdf,10.0 MB,Save,2:00:00,"Product: Silence and Silencing in Psychoanalysis : Cultural, Clinical, and Research Perspectives | Author: Aleksandar Dimitrijević (Editor), Michael B. Buchholz (Editor) | Year: 2020 | Language: English | Format: pdf | Details: This book is the first comprehensive treatment in recent decades of silence and silencing in psychoanalysis from clinical and research perspectives, as well as in philosophy, theology, linguistics, and musicology. The book approaches silence and silencing on three levels. First, it provides context for psychoanalytic approaches to silence through chapters about silence in phenomenology, theology, linguistics, musicology, and contemporary Western society. Its central part is devoted to the position of silence in psychoanalysis: its types and possible meanings (a form of resistance, in countertransference, the foundation for listening and further growth), based on both the work of the pioneers of psychoanalysis and on clinical case presentations. Finally, the book includes reports of conversation analytic research of silence in psychotherapeutic sessions and everyday communication. Not only are original techniques reported here for the first time, but research and clinical approaches fit together in significant ways. This book will be of interest to all psychologists, psychoanalysts, and social scientists, as well as applied researchers, program designers and evaluators, educators, leaders, and students. It will also provide valuable insight to anyone interested in the social practices of silence and silencing, and the roles these play in everyday social interactions."
handbook-of-spirituality-religion-and-mental-health,"Handbook of Spirituality, Religion, and Mental Health","<p>Research has indicated that spiritual and religious factors are strongly tied to a host of mental health characteristics, in both positive and negative ways. That body of research has significantly grown since publication of the first edition of this book 20 years ago. The seconnd edition of the __Handbook of Spirituality, Religion and Mental Health__ identifies not only whether religion and spirituality influence mental health and vice versa, but also how, why, and for whom. Hence 100% of the book is now revised with new chapters and new contributors. Contents address eight categories of mental disorders, as well as other kay aspects of social, emotional, and behavioral health.</p>","David H. Rosmarin (Editor), Harold G. Koenig (Editor)",Book,"pdf, English, 2020, 3.1 MB",TRUE,4.00,FALSE,FALSE,Sold 12+ times in the last 24 hours,Bestseller,2020,English,pdf,3.1 MB,Save,2:00:00,"Product: Handbook of Spirituality, Religion, and Mental Health | Author: David H. Rosmarin (Editor), Harold G. Koenig (Editor) | Year: 2020 | Language: English | Format: pdf | Details: Research has indicated that spiritual and religious factors are strongly tied to a host of mental health characteristics, in both positive and negative ways. That body of research has significantly grown since publication of the first edition of this book 20 years ago. The seconnd edition of the __Handbook of Spirituality, Religion and Mental Health__ identifies not only whether religion and spirituality influence mental health and vice versa, but also how, why, and for whom. Hence 100% of the book is now revised with new chapters and new contributors. Contents address eight categories of mental disorders, as well as other kay aspects of social, emotional, and behavioral health."
foundations-of-art-therapy-theory-and-applications,Foundations of Art Therapy : Theory and Applications,"<p>Foundations of Art Therapy: Theory and Applications is an essential and comprehensive introduction to the field of art therapy that blends relevant psychological and neuroscience research, theories, and concepts and infuses cultural diversity throughout each chapter. The text includes full color photos, informative charts, and case examples and is divided into four parts beginning with the basics of art therapy knowledge and concluding with professional practices in art therapy. The fundamentals of art therapy section includes coverage of art therapy founders, art materials, multicultural perspectives, intersections with neuroscience, and research methods. An overview and in-depth explorations of different theoretical approaches to the practice of art therapy are covered in the second part of the book. A bio-psycho-social approach integrates current research on art therapy with specific populations (children, mental health, older adults, and trauma). The book concludes with art therapy professional practices in group concepts, community-based art therapy, and developing a career in the field. Each chapter contains chapter objectives, practical applications, ethical considerations, reflection questions, experiential exercises, and a list of terms. The unique, practical, and interdisciplinary approach of this text provides a solid base for understanding the field of art therapy and is well suited for use in undergraduate art therapy courses. This book will appeal to those...</p>",Meera Rastogi; Rachel Paige Feldwisch; Michelle Pate; Joseph Scarce,Book,"pdf, English, 2022, 25.9 MB",TRUE,4.00,FALSE,FALSE,Sold 12+ times in the last 24 hours,Bestseller,2022,English,pdf,25.9 MB,Save,2:00:00,"Product: Foundations of Art Therapy : Theory and Applications | Author: Meera Rastogi; Rachel Paige Feldwisch; Michelle Pate; Joseph Scarce | Year: 2022 | Language: English | Format: pdf | Details: Foundations of Art Therapy: Theory and Applications is an essential and comprehensive introduction to the field of art therapy that blends relevant psychological and neuroscience research, theories, and concepts and infuses cultural diversity throughout each chapter. The text includes full color photos, informative charts, and case examples and is divided into four parts beginning with the basics of art therapy knowledge and concluding with professional practices in art therapy. The fundamentals of art therapy section includes coverage of art therapy founders, art materials, multicultural perspectives, intersections with neuroscience, and research methods. An overview and in-depth explorations of different theoretical approaches to the practice of art therapy are covered in the second part of the book. A bio-psycho-social approach integrates current research on art therapy with specific populations (children, mental health, older adults, and trauma). The book concludes with art therapy professional practices in group concepts, community-based art therapy, and developing a career in the field. Each chapter contains chapter objectives, practical applications, ethical considerations, reflection questions, experiential exercises, and a list of terms. The unique, practical, and interdisciplinary approach of this text provides a solid base for understanding the field of art therapy and is well suited for use in undergraduate art therapy courses. This book will appeal to those..."
flexible-applications-of-cognitive-processing-therapy-evidence-based-treatment-methods,Flexible Applications of Cognitive Processing Therapy : Evidence-Based Treatment Methods,"<p>Flexible Applications of Cognitive Processing Therapy: Evidence-Based Treatment Methods provides a detailed roadmap on how to apply therapy to a wide-range of complex patients. Starting with an exploration of the development of CPT, the book then segues into a practical discussion on flexible adaptations of therapy. Dissemination and implementation of CPT is covered next, and the book concludes with directions for future research. It provides clinical guidance on treating PTSD with patients who express high levels of anger, shame, guilt, and other forms of emotionality, while also providing insight on research on the effectiveness of CPT on other comorbid disorders. The book also reviews the outcomes of clinical trials of CPT inside and outside the United States, including examining modifications and outcomes in a diverse array of patient populations. Traces the history and development of cognitive processing therapy (CPT) Outlines empirically-supported modifications to CPT Looks at international applications of CPT in diverse patient populations Discusses common challenges to therapy outcome and how to overcome them</p>","Tara E. Galovski, Reginald D. V. Nixon, Debra Kaysen",Book,"pdf, English, 2020, 3.9 MB",TRUE,4.00,FALSE,FALSE,Sold 12+ times in the last 24 hours,Bestseller,2020,English,pdf,3.9 MB,Save,2:00:00,"Product: Flexible Applications of Cognitive Processing Therapy : Evidence-Based Treatment Methods | Author: Tara E. Galovski, Reginald D. V. Nixon, Debra Kaysen | Year: 2020 | Language: English | Format: pdf | Details: Flexible Applications of Cognitive Processing Therapy: Evidence-Based Treatment Methods provides a detailed roadmap on how to apply therapy to a wide-range of complex patients. Starting with an exploration of the development of CPT, the book then segues into a practical discussion on flexible adaptations of therapy. Dissemination and implementation of CPT is covered next, and the book concludes with directions for future research. It provides clinical guidance on treating PTSD with patients who express high levels of anger, shame, guilt, and other forms of emotionality, while also providing insight on research on the effectiveness of CPT on other comorbid disorders. The book also reviews the outcomes of clinical trials of CPT inside and outside the United States, including examining modifications and outcomes in a diverse array of patient populations. Traces the history and development of cognitive processing therapy (CPT) Outlines empirically-supported modifications to CPT Looks at international applications of CPT in diverse patient populations Discusses common challenges to therapy outcome and how to overcome them"
taming-the-negative-introject-empowering-patients-to-take-control-of-their-mental-health,Taming the Negative Introject : Empowering Patients to Take Control of Their Mental Health,"<p>""In this book, Dr. Carol W. Berman describes how to help patients control the self-sabotaging element of their unconscious minds, often called the punitive superego, the negative introject, or the hurt child. The negative introject can provoke horrendous acts against the self, ranging from suicide and addiction to making hurtful comments to loved ones. The role of the psychotherapist is to make the unconscious conscious, allowing the sufferers to take back control of their actions. Dr. Berman uses case studies to personalize the theory and demonstrate how the negative introject can take hold and impact the lives of those suffering from a variety of illnesses and disorders, including depression, anxiety, eating disorders, obsessive-compulsive disorder, and bipolar disorder. Each chapter concludes with a guide demonstrating how the negative introject was tamed in each case, showing the reader that the negative introject can be identified and then brought into some control. This book is essential reading for all kinds of psychotherapists, from psychiatrists to social workers and psychologists, as well as all those who wish to identify the negative introject, and help ""tame"" it.""</p>",Carol W Berman,Book,"pdf, English, 2019, 2.0 MB",TRUE,4.00,FALSE,FALSE,Sold 12+ times in the last 24 hours,Bestseller,2019,English,pdf,2.0 MB,Save,2:00:00,"Product: Taming the Negative Introject : Empowering Patients to Take Control of Their Mental Health | Author: Carol W Berman | Year: 2019 | Language: English | Format: pdf | Details: ""In this book, Dr. Carol W. Berman describes how to help patients control the self-sabotaging element of their unconscious minds, often called the punitive superego, the negative introject, or the hurt child. The negative introject can provoke horrendous acts against the self, ranging from suicide and addiction to making hurtful comments to loved ones. The role of the psychotherapist is to make the unconscious conscious, allowing the sufferers to take back control of their actions. Dr. Berman uses case studies to personalize the theory and demonstrate how the negative introject can take hold and impact the lives of those suffering from a variety of illnesses and disorders, including depression, anxiety, eating disorders, obsessive-compulsive disorder, and bipolar disorder. Each chapter concludes with a guide demonstrating how the negative introject was tamed in each case, showing the reader that the negative introject can be identified and then brought into some control. This book is essential reading for all kinds of psychotherapists, from psychiatrists to social workers and psychologists, as well as all those who wish to identify the negative introject, and help ""tame"" it."""
progress-in-self-psychology-v-13-conversations-in-self-psychology,"Progress in Self Psychology, V. 13 : Conversations in Self Psychology","<p>Volume 13 provides valuable examples of the very type of clinically grounded theorizing that represents progress in self psychology. The opening section of clinical papers encompasses compensatory structures, facilitating responsiveness, repressed memories, mature selfobject experience, shame in the analyst, and the resolution of intersubjective impasses. Two self-psychologically informed approaches to supervision are followed by a section of contemporary explorations of sexuality. Contributions to therapy address transference and countertransference issues in drama therapy, an intersubjective.</p>","Goldberg, Arnold I.",Book,"pdf, English, 2013, 11.4 MB",TRUE,4.00,FALSE,FALSE,Sold 12+ times in the last 24 hours,Bestseller,2013,English,pdf,11.4 MB,Save,2:00:00,"Product: Progress in Self Psychology, V. 13 : Conversations in Self Psychology | Author: Goldberg, Arnold I. | Year: 2013 | Language: English | Format: pdf | Details: Volume 13 provides valuable examples of the very type of clinically grounded theorizing that represents progress in self psychology. The opening section of clinical papers encompasses compensatory structures, facilitating responsiveness, repressed memories, mature selfobject experience, shame in the analyst, and the resolution of intersubjective impasses. Two self-psychologically informed approaches to supervision are followed by a section of contemporary explorations of sexuality. Contributions to therapy address transference and countertransference issues in drama therapy, an intersubjective."
silence-and-silencing-in-psychoanalysis-cultural-clinical-and-research-perspectives,"Silence and Silencing in Psychoanalysis : Cultural, Clinical, and Research Perspectives","<p>This book is the first comprehensive treatment in recent decades of silence and silencing in psychoanalysis from clinical and research perspectives, as well as in philosophy, theology, linguistics, and musicology. The book approaches silence and silencing on three levels. First, it provides context for psychoanalytic approaches to silence through chapters about silence in phenomenology, theology, linguistics, musicology, and contemporary Western society. Its central part is devoted to the position of silence in psychoanalysis: its types and possible meanings (a form of resistance, in countertransference, the foundation for listening and further growth), based on both the work of the pioneers of psychoanalysis and on clinical case presentations. Finally, the book includes reports of conversation analytic research of silence in psychotherapeutic sessions and everyday communication. Not only are original techniques reported here for the first time, but research and clinical approaches fit together in significant ways. This book will be of interest to all psychologists, psychoanalysts, and social scientists, as well as applied researchers, program designers and evaluators, educators, leaders, and students. It will also provide valuable insight to anyone interested in the social practices of silence and silencing, and the roles these play in everyday social interactions.</p>",Aleksandar Dimitrijević & Michael B. Buchholz,Book,"pdf, English, 2021, 6.8 MB",TRUE,4.00,FALSE,FALSE,Sold 12+ times in the last 24 hours,Bestseller,2021,English,pdf,6.8 MB,Save,2:00:00,"Product: Silence and Silencing in Psychoanalysis : Cultural, Clinical, and Research Perspectives | Author: Aleksandar Dimitrijević & Michael B. Buchholz | Year: 2021 | Language: English | Format: pdf | Details: This book is the first comprehensive treatment in recent decades of silence and silencing in psychoanalysis from clinical and research perspectives, as well as in philosophy, theology, linguistics, and musicology. The book approaches silence and silencing on three levels. First, it provides context for psychoanalytic approaches to silence through chapters about silence in phenomenology, theology, linguistics, musicology, and contemporary Western society. Its central part is devoted to the position of silence in psychoanalysis: its types and possible meanings (a form of resistance, in countertransference, the foundation for listening and further growth), based on both the work of the pioneers of psychoanalysis and on clinical case presentations. Finally, the book includes reports of conversation analytic research of silence in psychotherapeutic sessions and everyday communication. Not only are original techniques reported here for the first time, but research and clinical approaches fit together in significant ways. This book will be of interest to all psychologists, psychoanalysts, and social scientists, as well as applied researchers, program designers and evaluators, educators, leaders, and students. It will also provide valuable insight to anyone interested in the social practices of silence and silencing, and the roles these play in everyday social interactions."
restorative-justice-promoting-peace-and-wellbeing,Restorative justice : promoting peace and wellbeing,"<p>This timely collection of chapters written by international experts bridges the gap between peace psychology and restorative justice. The Editors combined their respective fields of expertise to start a much-needed debate on the potential but also risks that are associated when implementing restorative justice in the peace psychology field. The volume highlights how psychological theory and research can inform and evaluate the potential of restorative practices in formal and informal educational settings as well as the criminal justice space. The chapters cover both negative and positive peace across levels while introducing the reader to various case studies from across the world. All in all, the book explores how restorative justice can promote positive peace through its connection fostering dialogue, empathy, forgiveness, and other key psychological elements of peace.</p>","Gabriel Velez, Theo Gavrielides",Book,"pdf, English, 2022, 6.2 MB",TRUE,4.00,FALSE,FALSE,Sold 12+ times in the last 24 hours,Bestseller,2022,English,pdf,6.2 MB,Save,2:00:00,"Product: Restorative justice : promoting peace and wellbeing | Author: Gabriel Velez, Theo Gavrielides | Year: 2022 | Language: English | Format: pdf | Details: This timely collection of chapters written by international experts bridges the gap between peace psychology and restorative justice. The Editors combined their respective fields of expertise to start a much-needed debate on the potential but also risks that are associated when implementing restorative justice in the peace psychology field. The volume highlights how psychological theory and research can inform and evaluate the potential of restorative practices in formal and informal educational settings as well as the criminal justice space. The chapters cover both negative and positive peace across levels while introducing the reader to various case studies from across the world. All in all, the book explores how restorative justice can promote positive peace through its connection fostering dialogue, empathy, forgiveness, and other key psychological elements of peace."
